iter	MultiClass
0	1.042043618
1	0.993734771
2	0.9520238594
3	0.9138317699
4	0.8783924007
5	0.8446080711
6	0.8120358872
7	0.7829041541
8	0.7567218992
9	0.7320517775
10	0.7108491337
11	0.6899088748
12	0.6688431535
13	0.6530993101
14	0.6363125765
15	0.6219996788
16	0.6073443902
17	0.5922254497
18	0.5778443685
19	0.5662719152
20	0.5550250083
21	0.5436655128
22	0.533153983
23	0.5224856771
24	0.5139081742
25	0.5040422076
26	0.495441408
27	0.4880892015
28	0.4806338831
29	0.4728800176
30	0.4646728614
31	0.4581805385
32	0.4523765831
33	0.4453855031
34	0.4380887697
35	0.430723412
36	0.4250218101
37	0.419142427
38	0.4144625376
39	0.4091998115
40	0.4039676987
41	0.3977193033
42	0.3928920547
43	0.3877391665
44	0.3823940599
45	0.3782379742
46	0.3735490559
47	0.3689384622
48	0.3649741611
49	0.3606080333
50	0.35685888
51	0.3532182253
52	0.3500570741
53	0.3465019262
54	0.3432601188
55	0.3400082135
56	0.3364091331
57	0.3335566701
58	0.3303097855
59	0.3278090043
60	0.3251876553
61	0.3225180742
62	0.3198800349
63	0.3167103378
64	0.3135912093
65	0.3109026316
66	0.308596487
67	0.3061638377
68	0.3032115463
69	0.3007525843
70	0.2979160735
71	0.2957436982
72	0.2937928661
73	0.2903931836
74	0.2878056045
75	0.2857010917
76	0.2835949642
77	0.2817815733
78	0.2798024639
79	0.2781760055
80	0.2758656516
81	0.2734761994
82	0.2714451296
83	0.2695204181
84	0.2673963369
85	0.2651039269
86	0.263109146
87	0.2616246518
88	0.2595396336
89	0.2576171336
90	0.2555893126
91	0.2540741683
92	0.2528666889
93	0.2514189083
94	0.2502533021
95	0.2485689917
96	0.247393486
97	0.24486459
98	0.2438573543
99	0.2418329394
100	0.2401918941
101	0.238801638
102	0.2370596456
103	0.2355442551
104	0.234375012
105	0.2332085915
106	0.231739336
107	0.2308329746
108	0.2300078355
109	0.2290606728
110	0.2278869977
111	0.2269387955
112	0.2260302972
113	0.2246756502
114	0.2240313735
115	0.2230372227
116	0.2218021504
117	0.2206734853
118	0.2196756281
119	0.2186892781
120	0.2179672108
121	0.2173086765
122	0.2162332506
123	0.2147085693
124	0.2135516218
125	0.2121906276
126	0.2116338431
127	0.2108336545
128	0.2097855192
129	0.2088612818
130	0.2079486474
131	0.2068772912
132	0.2061013023
133	0.2052995584
134	0.2045822872
135	0.203514986
136	0.2028167754
137	0.2016371005
138	0.2010000153
139	0.1994948474
140	0.1991927183
141	0.1983328109
142	0.1976260045
143	0.1966784626
144	0.1955732195
145	0.1947288378
146	0.1940249247
147	0.1929232121
148	0.1923687992
149	0.1915857279
150	0.1910696085
151	0.1904354476
152	0.189842272
153	0.1892020811
154	0.1886352008
155	0.1884658324
156	0.1880195332
157	0.1871371806
158	0.1863163701
159	0.185491826
160	0.1850766064
161	0.184784558
162	0.1839747056
163	0.1834911813
164	0.1828482073
165	0.1822582662
166	0.1814871715
167	0.1811287361
168	0.1807330864
169	0.1800926005
170	0.1795245604
171	0.1785739323
172	0.1782503055
173	0.1777095632
174	0.1774811267
175	0.1770427355
176	0.1765561211
177	0.1757513829
178	0.1754077876
179	0.1749042233
180	0.1744318656
181	0.1737811172
182	0.1735535054
183	0.1729866955
184	0.1723527378
185	0.1718589904
186	0.1712608227
187	0.1707112838
188	0.1700703664
189	0.1697135233
190	0.1691105077
191	0.1689101681
192	0.1685442519
193	0.16819554
194	0.167708885
195	0.1672926887
196	0.1668676921
197	0.166099738
198	0.1655205963
199	0.1649568735
200	0.16440382
201	0.164107898
202	0.1636405418
203	0.163312541
204	0.1629383084
205	0.1618928848
206	0.1609759677
207	0.1607034011
208	0.1602843243
209	0.1596830316
210	0.1590856182
211	0.1586217415
212	0.158165258
213	0.1575904294
214	0.1573009098
215	0.1570977987
216	0.1566642211
217	0.1560510441
218	0.1558231978
219	0.1555879802
220	0.1553420223
221	0.1547148909
222	0.1542718878
223	0.1537951414
224	0.153391938
225	0.1529818423
226	0.1525569002
227	0.1520073036
228	0.1517063859
229	0.1512985339
230	0.150992961
231	0.1506360339
232	0.1502712199
233	0.1499025148
234	0.1494032631
235	0.1492248271
236	0.1490659524
237	0.148530762
238	0.1478765676
239	0.1475431881
240	0.1472661415
241	0.147094537
242	0.1467990577
243	0.1465306225
244	0.1461433053
245	0.145663592
246	0.1453381462
247	0.1450006488
248	0.1445397528
249	0.1440949889
250	0.1436353943
251	0.1431453253
252	0.1427722583
253	0.142451709
254	0.1421932402
255	0.1419861393
256	0.1416235441
257	0.1413254109
258	0.1410813205
259	0.1405445548
260	0.1401145291
261	0.1398583368
262	0.1394651803
263	0.1390884689
264	0.1387641671
265	0.1385842176
266	0.1382854914
267	0.1379526401
268	0.1376981146
269	0.1372354546
270	0.1367905959
271	0.1365381366
272	0.136333703
273	0.1361220218
274	0.1357781378
275	0.1355005314
276	0.1352915307
277	0.1349412873
278	0.1345852542
279	0.13438909
280	0.1340920944
281	0.1335803791
282	0.133192044
283	0.1330305858
284	0.1325553711
285	0.1321584395
286	0.1316392538
287	0.1313817423
288	0.1311617613
289	0.1309331212
290	0.1305210008
291	0.130379641
292	0.1302056023
293	0.129910724
294	0.1297636849
295	0.1295533548
296	0.1292113964
297	0.1289504924
298	0.128671379
299	0.1283512869
300	0.1281495295
301	0.1277621903
302	0.1272482109
303	0.1270162568
304	0.1266956582
305	0.1264400058
306	0.1262165025
307	0.1260203626
308	0.1258417325
309	0.1256294574
310	0.1253473591
311	0.1251291923
312	0.1248585917
313	0.1247176638
314	0.1245703906
315	0.1243023281
316	0.1238780369
317	0.1236751722
318	0.1228691625
319	0.1225659419
320	0.1221997919
321	0.1219535691
322	0.1215818654
323	0.1212714423
324	0.1208824703
325	0.1206922887
326	0.1204341477
327	0.1202065259
328	0.1198708768
329	0.1195679261
330	0.1193599901
331	0.119164706
332	0.1189497675
333	0.1187533651
334	0.1183491496
335	0.1179632419
336	0.1177222161
337	0.1175289327
338	0.1174223543
339	0.1169444225
340	0.1167257058
341	0.1164361077
342	0.1162364474
343	0.1159556003
344	0.1156918881
345	0.1153851703
346	0.1152732355
347	0.1149585905
348	0.114506278
349	0.1142550025
350	0.1140521871
351	0.1139270075
352	0.1137466776
353	0.1135842764
354	0.1134307196
355	0.1132490046
356	0.1131145163
357	0.1129229179
358	0.1127145854
359	0.1124026053
360	0.1121959686
361	0.1120698229
362	0.1118547165
363	0.1116869762
364	0.1115882301
365	0.1114229672
366	0.1112136192
367	0.1110665653
368	0.1108137583
369	0.1105714064
370	0.1103901672
371	0.1102175238
372	0.1101096651
373	0.1097777687
374	0.1095820547
375	0.1093474434
376	0.1089796282
377	0.1087627678
378	0.1085575515
379	0.1084471168
380	0.1082743345
381	0.1080315277
382	0.1078326153
383	0.1076368808
384	0.1074426728
385	0.1071999338
386	0.1070231803
387	0.1067825457
388	0.106373721
389	0.1061318901
390	0.1058786472
391	0.1055428664
392	0.1054133979
393	0.1052453052
394	0.1049541387
395	0.1048258694
396	0.104635046
397	0.1043449922
398	0.1041439256
399	0.1039490009
400	0.1037805866
401	0.1035534614
402	0.1034303482
403	0.1032845708
404	0.103189546
405	0.1030033904
406	0.1029125737
407	0.1027113159
408	0.1024907932
409	0.1024099774
410	0.1023165244
411	0.1021104341
412	0.1019215506
413	0.1016778991
414	0.1014793028
415	0.1013633018
