iter	Passed	Remaining
0	197	196943
1	304	151821
2	417	138739
3	539	134234
4	661	131626
5	779	129157
6	902	128043
7	1035	128376
8	1193	131421
9	1361	134770
10	1478	132918
11	1616	133124
12	1749	132802
13	1888	132989
14	2097	137749
15	2247	138212
16	2407	139202
17	2550	139124
18	2673	138051
19	2792	136811
20	3020	140828
21	3169	140885
22	3314	140804
23	3461	140769
24	3579	139589
25	3734	139890
26	3880	139853
27	4006	139093
28	4122	138041
29	4244	137248
30	4383	137014
31	4529	137028
32	4657	136473
33	4786	135998
34	4920	135670
35	5054	135352
36	5181	134864
37	5305	134317
38	5415	133443
39	5545	133084
40	5685	132994
41	5810	132529
42	5945	132319
43	6078	132058
44	6188	131336
45	6366	132045
46	6538	132581
47	6662	132144
48	6767	131348
49	6911	131326
50	7044	131082
51	7170	130727
52	7295	130353
53	7421	130015
54	7570	130070
55	7786	131256
56	7912	130908
57	8089	131377
58	8220	131104
59	8336	130603
60	8444	129995
61	8619	130405
62	8700	129409
63	8827	129095
64	8966	128986
65	9096	128726
66	9207	128213
67	9321	127760
68	9447	127472
69	9600	127548
70	9764	127762
71	9884	127394
72	10009	127111
73	10157	127107
74	10266	126623
75	10457	127137
76	10629	127420
77	10770	127311
78	10887	126932
79	11056	127144
80	11181	126860
81	11305	126567
82	11461	126632
83	11597	126464
84	11733	126305
85	11897	126440
86	12036	126316
87	12148	125899
88	12306	125972
89	12455	125941
90	12585	125713
91	12724	125589
92	12836	125194
93	12979	125104
94	13105	124850
95	13250	124770
96	13373	124498
97	13477	124051
98	13583	123622
99	13735	123617
100	13846	123250
101	13976	123047
102	14098	122782
103	14220	122515
104	14368	122471
105	14489	122202
106	14614	121966
107	14745	121788
108	14872	121575
109	15009	121441
110	15143	121287
111	15274	121106
112	15398	120870
113	15520	120625
114	15632	120301
115	15740	119956
116	15875	119815
117	16007	119651
118	16128	119403
119	16257	119218
120	16389	119062
121	16535	118998
122	16685	118969
123	16813	118781
124	16959	118719
125	17088	118534
126	17220	118374
127	17349	118192
128	17451	117834
129	17568	117572
130	17685	117316
131	17812	117127
132	17935	116920
133	18062	116729
134	18191	116558
135	18327	116434
136	18450	116227
137	18578	116049
138	18701	115841
139	18816	115586
140	18926	115303
141	19057	115150
142	19177	114929
143	19302	114744
144	19440	114634
145	19565	114446
146	19659	114080
147	19784	113892
148	19893	113617
149	20030	113504
150	20141	113244
151	20255	113006
152	20364	112735
153	20476	112487
154	20599	112300
155	20725	112127
156	20850	111953
157	20951	111653
158	21065	111424
159	21212	111364
160	21313	111067
161	21414	110771
162	21572	110775
163	21694	110586
164	21812	110386
165	21955	110306
166	22081	110143
167	22198	109936
168	22320	109752
169	22447	109595
170	22573	109437
171	22694	109248
172	22820	109089
173	22949	108945
174	23085	108832
175	23203	108636
176	23319	108430
177	23439	108245
178	23559	108055
179	23692	107931
180	23802	107704
181	23924	107527
182	24045	107351
183	24166	107174
184	24292	107018
185	24426	106898
186	24546	106718
187	24695	106664
188	24811	106464
189	25026	106692
190	25248	106941
191	25363	106737
192	25493	106596
193	25619	106438
194	25750	106301
195	25941	106412
196	26109	106426
197	26236	106271
198	26884	108212
199	27198	108792
200	27359	108758
201	27472	108530
202	27572	108253
203	27696	108072
204	27817	107877
205	27942	107700
206	28062	107506
207	28188	107334
208	28318	107177
209	28448	107020
210	28551	106765
211	28699	106676
212	28829	106521
213	28984	106456
214	29116	106310
215	29265	106223
216	29500	106447
217	29641	106327
218	29768	106160
219	29895	105992
220	30024	105834
221	30171	105737
222	30300	105576
223	30446	105475
224	30584	105346
225	30709	105173
226	30832	104992
227	30980	104897
228	31177	104968
229	31329	104886
230	31445	104683
231	31573	104517
232	31699	104349
233	31795	104081
234	31920	103912
235	32068	103814
236	32188	103627
237	32319	103475
238	32486	103440
239	32632	103336
240	32920	103678
241	33009	103393
242	33145	103257
243	33250	103021
244	33388	102890
245	33506	102697
246	33656	102605
247	33797	102481
248	33927	102326
249	34086	102259
250	34223	102124
251	34354	101972
252	34733	102553
253	34894	102485
254	35031	102346
255	35169	102211
256	35297	102045
257	35447	101945
258	35543	101690
259	35680	101551
260	35810	101395
261	35969	101317
262	36115	101206
263	36245	101048
264	36400	100959
265	36552	100863
266	36661	100646
267	36805	100529
268	36948	100405
269	37065	100213
270	37186	100033
271	37319	99884
272	37455	99742
273	37589	99599
274	37705	99405
275	37826	99225
276	37948	99050
277	38071	98875
278	38203	98726
279	38321	98540
280	38446	98373
281	38573	98212
282	38701	98052
283	38809	97844
284	38941	97695
285	39062	97520
286	39176	97325
287	39307	97176
288	39438	97026
289	39561	96858
290	39681	96681
291	39796	96493
292	39931	96354
293	40094	96280
294	40201	96074
295	40327	95915
296	40506	95878
297	40622	95695
298	40791	95635
299	41250	96250
300	41374	96082
301	41474	95859
302	41589	95668
303	41717	95511
304	41852	95369
305	42015	95289
306	42154	95156
307	42319	95081
308	42434	94894
309	42547	94702
310	42680	94556
311	42859	94510
312	42987	94351
313	43146	94263
314	43284	94127
315	43454	94060
316	43552	93836
317	43673	93664
318	43839	93588
319	43957	93409
320	44071	93222
321	44187	93040
322	44305	92863
323	44411	92661
324	44530	92485
325	44670	92354
326	44772	92145
327	44916	92023
328	45041	91862
329	45167	91702
330	45279	91517
331	45381	91309
332	45499	91136
333	45624	90975
334	45750	90817
335	45897	90701
336	46021	90540
337	46157	90402
338	46276	90232
339	46396	90064
340	46505	89874
341	46623	89702
342	46742	89533
343	46888	89415
344	47006	89243
345	47115	89056
346	47242	88902
347	47363	88738
348	47479	88564
349	47592	88386
350	47711	88218
351	47845	88079
352	47966	87915
353	48098	87772
354	48204	87582
355	48321	87412
356	48437	87241
357	48532	87032
358	48644	86856
359	48786	86732
360	48914	86582
361	49051	86449
362	49169	86283
363	49263	86076
364	49396	85935
365	49495	85738
366	49612	85572
367	49732	85410
368	49845	85236
369	49972	85087
370	50086	84917
371	50204	84754
372	50322	84591
373	50445	84436
374	50580	84300
375	50725	84182
376	50837	84010
377	50952	83843
378	51093	83717
379	51210	83554
380	51324	83385
381	51441	83221
382	51554	83052
383	51675	82895
384	51790	82729
385	51906	82566
386	52036	82425
387	52169	82287
388	52282	82120
389	52412	81977
390	52531	81819
391	52640	81646
392	52772	81508
393	52886	81342
394	53002	81180
395	53122	81025
396	53241	80868
397	53367	80721
398	53481	80557
399	53593	80390
400	53705	80223
401	53831	80077
402	53955	79928
403	54079	79780
404	54200	79628
405	54317	79469
406	54474	79369
407	54616	79247
408	54741	79101
409	54872	78962
410	54989	78804
411	55146	78703
412	55287	78580
413	55392	78406
414	55536	78286
415	55659	78137
416	55789	77998
417	55905	77839
418	56070	77749
419	56218	77635
420	56340	77485
421	56473	77349
422	56589	77192
423	56732	77071
424	56888	76967
425	56973	76767
426	57085	76604
427	57202	76448
428	57314	76285
429	57437	76137
430	57603	76047
431	57728	75902
432	57885	75799
433	57997	75636
434	58121	75491
435	58245	75345
436	58364	75192
437	58486	75044
438	58600	74885
439	58713	74726
440	58835	74578
441	58958	74431
442	59080	74283
443	59204	74138
444	59326	73991
445	59475	73878
446	59585	73715
447	59694	73551
448	59838	73432
449	59944	73265
450	60051	73100
451	60178	72959
452	60302	72815
453	60412	72654
454	60525	72497
455	60636	72338
456	60755	72188
457	60874	72039
458	61003	71902
459	61127	71758
460	61247	71610
461	61401	71502
462	61535	71370
463	61652	71218
464	61771	71070
465	61908	70942
466	62021	70786
467	62134	70631
468	62276	70508
469	62413	70380
470	62523	70223
471	62649	70082
472	62783	69951
473	62901	69802
474	63026	69660
475	63131	69497
476	63229	69327
477	63385	69220
478	63483	69050
479	63601	68901
480	63720	68754
481	63843	68612
482	63965	68468
483	64078	68315
484	64201	68173
485	64312	68018
486	64428	67867
487	64559	67734
488	64803	67719
489	64945	67595
490	65062	67447
491	65189	67309
492	65294	67148
493	65418	67007
494	65539	66863
495	65666	66726
496	65817	66612
497	65947	66477
498	66075	66340
499	66199	66199
500	66306	66041
501	66418	65889
502	66523	65730
503	66641	65583
504	66775	65452
505	66889	65303
506	67015	65164
